rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
--,NA,NA,Munro College,1600 Sprint Medley,Track,NA,null,DQ,NA,NA
--,NA,NA,Charlemont High,1600 Sprint Medley,Track,NA,null,DNS,NA,NA
1,NA,NA,Porus High,1600 Sprint Medley,Track,NA,null,3:46.44,NA,NA
2,NA,NA,Edith Dalton James,1600 Sprint Medley,Track,NA,null,3:47.47,NA,NA
3,NA,NA,Grange Hill High,1600 Sprint Medley,Track,NA,null,3:48.31,NA,NA
4,NA,NA,St. Mary High,1600 Sprint Medley,Track,NA,null,3:51.24,NA,NA
5,NA,NA,Claude McKAY High,1600 Sprint Medley,Track,NA,null,3:57.88,NA,NA
--,NA,NA,Cornwall College,1600 Sprint Medley,Track,NA,null,DNS,NA,NA
1,NA,NA,Calabar High,1600 Sprint Medley,Track,NA,null,3:35.55,NA,NA
2,NA,NA,Oberlin High,1600 Sprint Medley,Track,NA,null,3:40.62,NA,NA
3,NA,NA,Excelsior High,1600 Sprint Medley,Track,NA,null,3:42.35,NA,NA
4,NA,NA,St. Mary Technical,1600 Sprint Medley,Track,NA,null,3:47.19,NA,NA
5,NA,NA,St. Andrew College,1600 Sprint Medley,Track,NA,null,3:50.12,NA,NA
--,NA,NA,Jonathan Grant High,1600 Sprint Medley,Track,NA,null,DNS,NA,NA
1,Gleneve Grange,16,Holmwood Technical,Shot Put Heptathlon Heptathlon,NA,NA,null,11.89m,null,65
2,Serena Canegan,19,Vere Technical,Shot Put Heptathlon Heptathlon,NA,NA,null,11.75m,null,64
3,Tonique Sobah,19,St. Jago High,Shot Put Heptathlon Heptathlon,NA,NA,null,9.49m,null,49
4,Georgia Williams,17,St. Andrew High,Shot Put Heptathlon Heptathlon,NA,NA,null,8.58m,null,43
5,Shanice Grant,18,Wolmers Girls,Shot Put Heptathlon Heptathlon,NA,NA,null,8.55m,null,43
6,Rashema Briscoe,17,Edwin Allen High,Shot Put Heptathlon Heptathlon,NA,NA,null,8.39m,null,42
7,Trudy McCalla,17,Oberlin High,Shot Put Heptathlon Heptathlon,NA,NA,null,7.96m,null,39
8,Lexanna Morgan,17,Convent OF Mercy,Shot Put Heptathlon Heptathlon,NA,NA,null,7.41m,null,36
--,Nicola Dixon,17,Glengoffe High,Shot Put Heptathlon Heptathlon,NA,NA,null,DNS,null,null
1,Lisa Buchanan,14,Holmwood Technical,1500 Meter Run,Track,NA,4:52.74,4:40.17,null,9
2,Roshae Burrell,15,St. Jago High,1500 Meter Run,Track,NA,4:56.13,4:48.69,null,7
3,Dercia Pitters,14,Edwin Allen High,1500 Meter Run,Track,NA,4:56.01,4:52.66,null,6
4,Aleitha McLaughlin,15,St. Elizabeth TE,1500 Meter Run,Track,NA,4:49.68,4:53.31,null,5
5,Shanieke Watson,15,Holmwood Technical,1500 Meter Run,Track,NA,4:50.43,4:54.68,null,4
6,Sophia Shaw,14,Vere Technical,1500 Meter Run,Track,NA,5:09.30,4:57.40,null,3
7,Nickesha Reid,15,Edwin Allen High,1500 Meter Run,Track,NA,5:02.11,5:08.01,null,2
8,Shanakay South,15,St. Jago High,1500 Meter Run,Track,NA,4:59.16,5:14.28,null,1
9,Chevel Jackson,15,Ocho Rios High,1500 Meter Run,Track,NA,4:54.92,5:15.94,null,null
10,Stacy-Ann Moyston,14,Albert Town High,1500 Meter Run,Track,NA,5:20.34,5:25.13,null,null
11,Natara McCalla,15,Old Harbour High,1500 Meter Run,Track,NA,5:27.66,5:27.97,null,null
12,Tashna  T Logan,15,Cross Keys High,1500 Meter Run,Track,NA,5:27.13,5:38.51,null,null
1,Orville Dixon,13,Calabar High,1500 Meter Run,Track,NA,5:08.15,4:17.27,null,null
2,Ryan Holmes,14,Edwin Allen High,1500 Meter Run,Track,NA,5:09.85,4:26.75,null,7
3,Shavanes Robinson,14,Titchfield High,1500 Meter Run,Track,NA,4:43.13,4:26.77,null,6
4,Rayon Butler,13,Holmwood Technical,1500 Meter Run,Track,NA,5:05.40,4:26.81,null,5
5,Tion Gray,14,Petersfield High,1500 Meter Run,Track,NA,4:44.67,4:32.33,null,4
6,Nakeem Hemmings,14,Jamaica College,1500 Meter Run,Track,NA,5:09.86,4:32.75,null,3
7,Kemar McCALLUM,15,Jamaica College,1500 Meter Run,Track,NA,4:43.80,4:35.18,null,2
8,Daniel Wint,14,Manchester High,1500 Meter Run,Track,NA,4:49.36,4:35.22,null,1
9,Jahneil Burnett,14,Kingston College,1500 Meter Run,Track,NA,4:53.32,4:36.91,null,null
10,Leo Robinson,14,Holmwood Technical,1500 Meter Run,Track,NA,4:44.38,4:37.02,null,null
11,Chevenne Hamilton,13,Calabar High,1500 Meter Run,Track,NA,4:55.20,4:41.17,null,null
12,Brandon Bagoo,14,Munro College,1500 Meter Run,Track,NA,4:53.63,4:49.75,null,null
1,Marleena Eubanks,16,Edwin Allen High,1500 Meter Run,Track,NA,4:47.66,4:41.74,null,9
2,Carla Thompson,17,Edwin Allen High,1500 Meter Run,Track,NA,4:52.71,4:46.67,null,7
3,Shevel McDonald,17,St. Jago High,1500 Meter Run,Track,NA,4:55.30,4:52.06,null,6
4,Sherene Whyte,17,Holmwood Technical,1500 Meter Run,Track,NA,4:54.64,4:53.99,null,5
5,Kimberlee Hinds,17,Holmwood Technical,1500 Meter Run,Track,NA,4:53.88,4:59.55,null,4
6,Antonette Gray,16,St. Jago High,1500 Meter Run,Track,NA,4:58.84,5:06.04,null,3
7,Kemo Anderson,16,Manchester High,1500 Meter Run,Track,NA,5:04.33,5:07.49,null,2
8,Danique Derby,17,Spalding High,1500 Meter Run,Track,NA,4:54.06,5:10.86,null,1
9,Janielle Taylor,17,Ferncourt High,1500 Meter Run,Track,NA,5:20.19,5:18.63,null,null
10,Taska Johnson,17,Vere Technical,1500 Meter Run,Track,NA,4:58.98,5:19.66,null,null
11,Candice Higgins,16,Excelsior High,1500 Meter Run,Track,NA,4:58.87,5:20.95,null,null
12,Shauna-Lee Brown,17,Tacius Golding,1500 Meter Run,Track,NA,5:10.99,5:23.77,null,null
1,Gabrielle Foster,13,Convent OF Mercy,High Jump,Field,NA,1.40m,1.65m,null,null
2,Shannon Kalawan,13,Edwin Allen High,High Jump,Field,NA,1.40m,1.55m,null,7
3,Stephanie Myrie,13,St. Andrew High,High Jump,Field,NA,null,1.40m,null,null
4,Jamie-Lee Brown,13,St. Andrew High,High Jump,Field,NA,null,1.40m,null,null
5,Celia Lawson,12,Ardenne High,High Jump,Field,NA,null,1.40m,null,null
6,Beanca Ebanks,13,Wolmers Girls,High Jump,Field,NA,1.40m,1.50m,null,3
7,Atalliah Boyd,13,St. Jago High,High Jump,Field,NA,null,1.40m,null,null
8,Arieka Clarke,13,Vere Technical,High Jump,Field,NA,1.40m,1.45m,null,1
9,Kashama Carter,13,Wolmers Girls,High Jump,Field,NA,null,1.40m,null,null
9,Colestia Baker,13,Holmwood Technical,High Jump,Field,NA,null,1.40m,null,null
9,Voshon Lynch,13,Excelsior High,High Jump,Field,NA,null,1.40m,null,null
12,Kathleen Smith,13,Ardenne High,High Jump,Field,NA,null,1.40m,null,null
13,Gayon Gilzene,13,Excelsior High,High Jump,Field,NA,null,1.40m,null,null
14,Zinedine Russell,12,Convent OF Mercy,High Jump,Field,NA,1.40m,1.40m,null,null
15,Shaday Anderson,13,Oberlin High,High Jump,Field,NA,1.40m,1.35m,null,null
15,Garnesha Campbell,13,Holmwood Technical,High Jump,Field,NA,1.40m,1.35m,null,null
15,Janiel Moore,13,Edwin Allen High,High Jump,Field,NA,1.40m,1.35m,null,null
1,Javari Fairclough,16,Calabar High,Discus Throw,Field,NA,47.21m,42.51m,NA,NA
2,Zaavan Richards,16,Kingston College,Discus Throw,Field,NA,45.04m,39.49m,NA,NA
3,Sanjay Reid,16,Foga Road High,Discus Throw,Field,NA,41.36m,37.47m,NA,NA
4,Brian Canaan,16,Jamaica College,Discus Throw,Field,NA,37.22m,37.38m,NA,NA
5,Adrian Richards,16,St. Jago High,Discus Throw,Field,NA,41.71m,37.20m,NA,NA
6,Stevon Crooks,15,Petersfield High,Discus Throw,Field,NA,37.72m,35.89m,NA,NA
7,Emmanuel Mayanja,16,Ardenne High,Discus Throw,Field,NA,37.38m,34.65m,NA,NA
8,Romario Willis,15,Buff Bay High,Discus Throw,Field,NA,35.73m,33.84m,NA,NA
9,Tevin Heath,15,Munro College,Discus Throw,Field,NA,35.88m,33.82m,NA,NA
10,Kenroy Gobourne,15,Titchfield High,Discus Throw,Field,NA,32.58m,33.70m,NA,NA
--,Javaunie Francis,15,Balaclava High,Discus Throw,Field,NA,33.91m,DNS,NA,NA
1,Glenford Watson,16,Petersfield High,Discus Throw,Field,NA,46.39m,39.86m,NA,NA
2,Basil Bingham,17,Calabar High,Discus Throw,Field,NA,44.30m,39.45m,NA,NA
3,Romario Grapine,15,Buff Bay High,Discus Throw,Field,NA,37.14m,38.90m,NA,NA
4,Andre Helps,16,Kingston College,Discus Throw,Field,NA,45.30m,38.56m,NA,NA
5,Alec-Verne Longmore,16,Jamaica College,Discus Throw,Field,NA,42.27m,37.95m,NA,NA
6,Alleque Ellis,16,Wolmers' Boys,Discus Throw,Field,NA,34.38m,36.06m,NA,NA
7,Ricardo Smith,16,Herbert Morrison,Discus Throw,Field,NA,31.08m,35.43m,NA,NA
8,Peter Deliser,16,Bridgeport,Discus Throw,Field,NA,36.59m,34.76m,NA,NA
9,Justin Hamilton,16,St. Jago High,Discus Throw,Field,NA,36.29m,33.68m,NA,NA
10,Orain Clair,16,Foga Road High,Discus Throw,Field,NA,39.56m,31.04m,NA,NA
--,Rushaun Watson,15,Irwin High,Discus Throw,Field,NA,34.19m,DNS,NA,NA
1,Jorel Belfante,16,Calabar High,1500 Meter Run,Track,NA,4:22.13,4:10.55,null,9
2,Dominic Powell,16,Kingston College,1500 Meter Run,Track,NA,4:18.24,4:13.23,null,7
3,Rajay Hamilton,16,Lennon High,1500 Meter Run,Track,NA,4:16.85,4:13.95,null,6
4,Kadeem Willis,15,Kingston College,1500 Meter Run,Track,NA,4:16.08,4:14.35,null,5
5,Romaine Headman,15,Jamaica College,1500 Meter Run,Track,NA,4:17.29,4:16.66,null,4
6,Kamoy Blake,16,Greater Portmore,1500 Meter Run,Track,NA,4:21.77,4:20.56,null,3
7,Herbert Thomas,16,Munro College,1500 Meter Run,Track,NA,4:17.08,4:21.30,null,2
8,Carlington Reid,16,Calabar High,1500 Meter Run,Track,NA,4:21.60,4:21.63,null,1
9,Tarik Fullerton,16,Cornwall College,1500 Meter Run,Track,NA,4:16.39,4:22.46,null,null
10,Delano Rochester,15,Clarendon College,1500 Meter Run,Track,NA,4:19.90,4:24.11,null,null
11,Kadar Bryan,16,Jamaica College,1500 Meter Run,Track,NA,4:15.65,4:25.10,null,null
12,Robert Thomas,16,St. Jago High,1500 Meter Run,Track,NA,4:21.90,4:31.28,null,null
--,Akeem Francis,15,Edwin Allen High,1500 Meter Run,Track,NA,4:22.08,DNF,null,null
1,Desreen Montaque,18,Edwin Allen High,1500 Meter Run,Track,NA,4:48.06,4:38.50,null,9
2,Chantal Duncan,18,Vere Technical,1500 Meter Run,Track,NA,4:52.67,4:40.99,null,7
3,Monique Thompson,19,Holmwood Technical,1500 Meter Run,Track,NA,4:48.94,4:44.20,null,6
4,Amoya Bailey,19,Holmwood Technical,1500 Meter Run,Track,NA,4:47.85,4:47.95,null,5
5,Molly-Ann Blake,18,St. Jago High,1500 Meter Run,Track,NA,4:55.24,4:54.09,null,4
6,Jhevere Hall,18,St. Jago High,1500 Meter Run,Track,NA,5:07.24,4:54.86,null,3
7,Nickeisha Williams,18,St. Elizabeth TE,1500 Meter Run,Track,NA,5:07.30,5:04.82,null,2
8,Omilea Montique,18,William Knibb High,1500 Meter Run,Track,NA,5:16.74,5:15.20,null,1
9,Nekeisha Mitchell,18,Manchester High,1500 Meter Run,Track,NA,5:16.44,5:20.48,null,null
10,Kelly-Ann Pinnock,18,Edwin Allen High,1500 Meter Run,Track,NA,5:04.55,5:23.09,null,null
11,Latoya Richards,18,Manchester High,1500 Meter Run,Track,NA,5:27.41,5:37.82,null,null
12,Janice Tulloch,19,Clarendon College,1500 Meter Run,Track,NA,5:20.18,5:58.47,null,null
13,Sherika Clarke,18,Buff Bay High,1500 Meter Run,Track,NA,5:39.10,6:06.50,null,null
14,Janeen Tulloch,19,Clarendon College,1500 Meter Run,Track,NA,5:07.43,6:30.13,null,null
--,Jhennelle Johnson,19,Dinthill,1500 Meter Run,Track,NA,5:38.26,DNS,null,null
--,Crystal Palmer,19,St. Catherine High,1500 Meter Run,Track,NA,5:19.24,DNS,null,null
1,Rogeek Rochester,19,Kingston College,1500 Meter Run,Track,NA,4:11.09,3:59.83,null,9
2,Sanje Pantry,18,St. Jago High,1500 Meter Run,Track,NA,4:10.72,4:01.17,null,7
3,Andre Hoosey,18,Holmwood Technical,1500 Meter Run,Track,NA,4:11.54,4:01.74,null,6
4,Giovanni Mowatt,19,Munro College,1500 Meter Run,Track,NA,4:10.04,4:02.73,null,5
5,Webster Chung,19,St. Jago High,1500 Meter Run,Track,NA,4:10.87,4:04.71,null,4
6,Rando Gunn,19,Calabar High,1500 Meter Run,Track,NA,4:11.50,4:09.97,null,3
7,Rayon Black,17,Ferncourt High,1500 Meter Run,Track,NA,4:16.56,4:12.13,null,2
8,Bryan Golding,17,May Day High,1500 Meter Run,Track,NA,4:16.96,4:14.86,null,1
9,Rodney Valentine Henry,17,Spalding High,1500 Meter Run,Track,NA,4:11.86,4:15.83,null,null
10,Andre Hare,18,Kingston College,1500 Meter Run,Track,NA,4:15.59,4:19.16,null,null
11,Philmore Williams,18,Holmwood Technical,1500 Meter Run,Track,NA,4:11.74,4:22.12,null,null
--,Waquar Dacosta,18,Jamaica College,1500 Meter Run,Track,NA,4:13.37,DNS,null,null
1,Ristanannna Tracey,19,Edwin Allen High,400 Meter Hurdles,Track,NA,59.44,55.81,null,null
2,Olivia James,17,Vere Technical,400 Meter Hurdles,Track,NA,59.86,59.01,null,7
3,Rushell Clayton,18,Vere Technical,400 Meter Hurdles,Track,NA,1:01.39,59.03,null,6
4,Janieve Russel,17,Holmwood Technical,400 Meter Hurdles,Track,NA,59.38,59.06,null,5
5,Monique Lovelock,18,St. Jago High,400 Meter Hurdles,Track,NA,1:02.11,1:02.12,null,4
6,Teriann Wiiliams,17,Edwin Allen High,400 Meter Hurdles,Track,NA,1:03.15,1:02.49,null,3
7,Israel Ramsay,18,Wolmers Girls,400 Meter Hurdles,Track,NA,1:02.14,1:02.69,null,2
8,Shay-Ann Holness,16,Manchester High,400 Meter Hurdles,Track,NA,1:03.36,1:04.48,null,1
1,Javarn Gallimore,18,Jamaica College,400 Meter Hurdles,Track,NA,52.89,51.18,null,9
2,Divontte's Dennis,17,Kingston College,400 Meter Hurdles,Track,NA,53.53,52.84,null,7
3,George Fearon,17,Calabar High,400 Meter Hurdles,Track,NA,53.89,53.30,null,6
4,Jamie Demms,18,St. Elizabeth TE,400 Meter Hurdles,Track,NA,53.66,53.31,null,5
5,Horatio Pinnock,19,Kingston College,400 Meter Hurdles,Track,NA,54.32,53.33,null,4
6,Nolan Williams,19,St. Jago High,400 Meter Hurdles,Track,NA,54.09,54.48,null,3
7,Kyle Robinson,17,Jamaica College,400 Meter Hurdles,Track,NA,53.29,56.13,null,2
8,Orwell Maylor,18,Wolmers' Boys,400 Meter Hurdles,Track,NA,54.03,57.79,null,1
1,Rushelle Burton,13,St. Andrew High,100 Meter Dash,Track,NA,12.61,12.19,1.6,9
2,Ayeshia Morgan,13,Hydel High,100 Meter Dash,Track,NA,12.90,12.25,1.6,7
3,Shellece Clark,12,Edwin Allen High,100 Meter Dash,Track,NA,12.92,12.30,1.6,6
4,Okalia Buchanan,13,Wolmers Girls,100 Meter Dash,Track,NA,12.76,12.32,1.6,5
5,Randese Ennis,13,Camperdown High,100 Meter Dash,Track,NA,12.92,12.43,1.6,4
6,Safiya Thompson,13,St. Jago High,100 Meter Dash,Track,NA,12.91,12.43,1.6,3
7,Jody-Ann Petrie,13,Excelsior High,100 Meter Dash,Track,NA,12.90,12.45,1.6,2
8,Natalie Walters,13,Holmwood Technical,100 Meter Dash,Track,NA,12.92,12.53,1.6,1
1,Shawna Helps,14,Wolmers Girls,100 Meter Dash,Track,NA,12.15,11.80,-1.2,9
2,Yanique Thompson,15,Holmwood Technical,100 Meter Dash,Track,NA,12.20,11.90,-1.2,7
3,Janielle Smith,15,Wolmers Girls,100 Meter Dash,Track,NA,12.25,11.96,-1.2,6
4,Shanice Lewis,15,Edwin Allen High,100 Meter Dash,Track,NA,12.20,12.05,-1.2,5
5,Diana Johnson,15,Holmwood Technical,100 Meter Dash,Track,NA,12.28,12.06,-1.2,4
6,Peta-Gay Williams,15,Camperdown High,100 Meter Dash,Track,NA,12.40,12.12,-1.2,3
7,Ashley Stephen,15,Glenmuir High,100 Meter Dash,Track,NA,12.38,12.25,-1.2,2
8,Juel Silvera,15,Herbert Morrison,100 Meter Dash,Track,NA,12.50,12.31,-1.2,1
1,Michael Ohara,14,Calabar High,100 Meter Dash,Track,NA,11.80,11.15,0.4,9
2,Rashaad Saunderson,14,Kingston College,100 Meter Dash,Track,NA,11.59,11.18,0.4,7
3,Raheem Chambers,13,St. Jago High,100 Meter Dash,Track,NA,11.57,11.20,0.4,6
4,Rojay Ottey,14,Munro College,100 Meter Dash,Track,NA,11.75,11.28,0.4,5
5,Blake Thompson,14,Edwin Allen High,100 Meter Dash,Track,NA,11.76,11.35,0.4,4
6,Raje Fearon,13,Kingston College,100 Meter Dash,Track,NA,11.86,11.37,0.4,3
7,Romario Grinnan,14,Old Harbour High,100 Meter Dash,Track,NA,11.71,11.43,0.4,2
8,Waseem Williams,14,Jamaica College,100 Meter Dash,Track,NA,11.65,11.45,0.4,1
1,Cardine Copeland,17,Wolmers Girls,100 Meter Dash,Track,NA,12.36,11.80,-0.2,9
2,Chanice Bonner,16,The Queen's School,100 Meter Dash,Track,NA,12.47,11.98,-0.2,7
3,Melissa Williams,17,St. Jago High,100 Meter Dash,Track,NA,12.37,12.04,-0.2,6
4,Kedisha Dallas,16,Holmwood Technical,100 Meter Dash,Track,NA,12.33,12.04,-0.2,5
5,Oshin Brooks-Gillings,16,Convent OF Mercy,100 Meter Dash,Track,NA,12.44,12.18,-0.2,4
6,Kenesha Stephens,17,Herbert Morrison,100 Meter Dash,Track,NA,12.34,12.22,-0.2,3
7,Dejah Stewart,17,Edwin Allen High,100 Meter Dash,Track,NA,12.69,12.38,-0.2,2
8,Chrisdale McCarthy,17,St. Jago High,100 Meter Dash,Track,NA,12.45,12.48,-0.2,1
1,Deshawn Jackson,16,Jamaica College,100 Meter Dash,Track,NA,11.00,10.73,-1.5,9
2,Raheem Robinson,15,Wolmers' Boys,100 Meter Dash,Track,NA,11.08,10.86,-1.5,7
3,Tevin-Lloyd Thompson,16,Kingston College,100 Meter Dash,Track,NA,11.16,10.88,-1.5,6
4,Jevaughn Minzie,16,Bog Walk,100 Meter Dash,Track,NA,11.07,10.89,-1.5,5
5,Edward Clarke,15,Jamaica College,100 Meter Dash,Track,NA,10.96,10.93,-1.5,4
6,Gawain Williams,15,Herbert Morrison,100 Meter Dash,Track,NA,11.05,10.96,-1.5,3
7,Kevaughn Rattry,15,St. Jago High,100 Meter Dash,Track,NA,10.94,11.02,-1.5,2
8,Denval Daley,16,St. Elizabeth TE,100 Meter Dash,Track,NA,11.14,11.16,-1.5,1
1,Deandre Whitehorne,18,Vere Technical,100 Meter Dash,Track,NA,11.98,11.54,-1.0,9
2,Remona Burchell,19,Herbert Morrison,100 Meter Dash,Track,NA,12.21,11.73,-1.0,7
3,Yanique Ellington,19,Holmwood Technical,100 Meter Dash,Track,NA,12.34,11.90,-1.0,6
4,Stacika Bright,18,William Knibb High,100 Meter Dash,Track,NA,12.44,12.09,-1.0,5
5,Shericka Moulton,18,Holmwood Technical,100 Meter Dash,Track,NA,12.44,12.11,-1.0,4
6,Keja Christie,18,Herbert Morrison,100 Meter Dash,Track,NA,12.55,12.21,-1.0,3
7,Stephany Clarke,18,Edwin Allen High,100 Meter Dash,Track,NA,12.55,12.23,-1.0,2
8,Shashawna Ffrench,19,Edwin Allen High,100 Meter Dash,Track,NA,12.45,12.33,-1.0,1
1,Jazeel Murphy,17,Bridgeport,100 Meter Dash,Track,NA,10.75,10.48,-1.2,9
2,Andrew Fisher,19,St. Elizabeth TE,100 Meter Dash,Track,NA,10.73,10.50,-1.2,7
3,Delano Williams,17,Munro College,100 Meter Dash,Track,NA,10.83,10.55,-1.2,6
4,Bernard Brady,19,Camperdown High,100 Meter Dash,Track,NA,10.83,10.59,-1.2,5
5,Ronell Deer,18,St. Elizabeth TE,100 Meter Dash,Track,NA,11.04,10.68,-1.2,4
6,Odail Todd,17,Green Island High,100 Meter Dash,Track,NA,10.80,10.69,-1.2,3
7,Julian Forte,18,Wolmers' Boys,100 Meter Dash,Track,NA,10.98,10.70,-1.2,2
--,Odean Skeen,17,Wolmers' Boys,100 Meter Dash,Track,NA,10.97,DNS,-1.2,null
1,Lexanna Morgan,17,Convent OF Mercy,200 Meter Run Heptathlon Heptathlon,NA,NA,25.47,2.0,null,84
2,Gleneve Grange,16,Holmwood Technical,200 Meter Run Heptathlon Heptathlon,NA,NA,25.58,2.0,null,83
3,Tonique Sobah,19,St. Jago High,200 Meter Run Heptathlon Heptathlon,NA,NA,26.20,2.0,null,78
4,Shanice Grant,18,Wolmers Girls,200 Meter Run Heptathlon Heptathlon,NA,NA,26.59,2.0,null,74
5,Trudy McCalla,17,Oberlin High,200 Meter Run Heptathlon Heptathlon,NA,NA,26.63,2.0,null,74
6,Rashema Briscoe,17,Edwin Allen High,200 Meter Run Heptathlon Heptathlon,NA,NA,27.27,2.0,null,69
7,Serena Canegan,19,Vere Technical,200 Meter Run Heptathlon Heptathlon,NA,NA,27.46,2.0,null,67
8,Georgia Williams,17,St. Andrew High,200 Meter Run Heptathlon Heptathlon,NA,NA,30.20,2.0,null,46
1,Amoya Bailey,19,Holmwood Technical,2000 Meter Steeplechase,Track,NA,null,7:10.92,null,9
2,Chantal Duncan,18,Vere Technical,2000 Meter Steeplechase,Track,NA,7:21.26,7:10.95,null,7
3,Patricia Powell,19,Holmwood Technical,2000 Meter Steeplechase,Track,NA,null,7:21.68,null,6
4,Desreen Montaque,18,Edwin Allen High,2000 Meter Steeplechase,Track,NA,7:23.70,7:24.30,null,5
5,Nekeisha Mitchell,18,Manchester High,2000 Meter Steeplechase,Track,NA,8:18.92,8:09.31,null,4
6,Shantol Hemley,19,St. Jago High,2000 Meter Steeplechase,Track,NA,8:11.24,8:10.42,null,3
7,Shauna-Lee Brown,17,Tacius Golding,2000 Meter Steeplechase,Track,NA,null,8:16.34,null,2
8,Kelly-Ann Pinnock,18,Edwin Allen High,2000 Meter Steeplechase,Track,NA,8:23.43,8:28.14,null,1
9,Latoya Richards,18,Manchester High,2000 Meter Steeplechase,Track,NA,8:20.68,8:46.79,null,null
10,Sashauna Campbell,16,Tacius Golding,2000 Meter Steeplechase,Track,NA,null,9:13.18,null,null
--,Molly-Ann Blake,18,St. Jago High,2000 Meter Steeplechase,Track,NA,7:29.24,DNF,null,null
1,Webster Chung,19,St. Jago High,2000 Meter Steeplechase,Track,NA,6:33.24,6:13.20,null,9
2,Sanje Pantry,18,St. Jago High,2000 Meter Steeplechase,Track,NA,6:27.89,6:16.45,null,7
3,Bejaun Jones,18,Jamaica College,2000 Meter Steeplechase,Track,NA,6:37.58,6:20.83,null,6
4,Aaron Lee,17,Jamaica College,2000 Meter Steeplechase,Track,NA,6:31.27,6:25.26,null,5
5,Rohan Simms,17,Titchfield High,2000 Meter Steeplechase,Track,NA,6:31.59,6:39.19,null,4
6,Damion Douglas,17,Hydel High,2000 Meter Steeplechase,Track,NA,6:48.41,6:39.87,null,3
7,Michael Chambers,17,May Day High,2000 Meter Steeplechase,Track,NA,6:51.00,6:41.31,null,2
8,Palmer Nambhard,18,Bellefield,2000 Meter Steeplechase,Track,NA,6:41.38,6:42.86,null,1
9,Jermaine James,18,Kingston College,2000 Meter Steeplechase,Track,NA,6:43.85,6:57.01,null,null
10,Ricardo Lawes,17,Edwin Allen High,2000 Meter Steeplechase,Track,NA,6:46.47,7:03.44,null,null
11,Kemar Barrett,18,Wolmers' Boys,2000 Meter Steeplechase,Track,NA,6:49.05,7:06.87,null,null
1,NA,NA,Vere Technical,4x400 Meter Relay,NA,NA,3:36.32,3:43.15,NA,NA
2,NA,NA,The Queen's School,4x400 Meter Relay,NA,NA,null,3:58.72,NA,NA
3,NA,NA,St. Hugh's High School,4x400 Meter Relay,NA,NA,null,4:03.96,NA,NA
4,NA,NA,Tacius Golding High School,4x400 Meter Relay,NA,NA,null,4:07.72,NA,NA
5,NA,NA,Campion College,4x400 Meter Relay,NA,NA,null,4:10.07,NA,NA
6,NA,NA,Godfrey Stewart High,4x400 Meter Relay,NA,NA,null,4:21.48,NA,NA
--,NA,NA,Convent OF Mercy Academy,4x400 Meter Relay,NA,NA,null,DNS,NA,NA
1,NA,NA,Edwin Allen High,4x400 Meter Relay,NA,NA,3:37.33,3:48.70,NA,NA
2,NA,NA,Bellefield High School,4x400 Meter Relay,NA,NA,null,3:50.46,NA,NA
3,NA,NA,Herbert Morrison Technical,4x400 Meter Relay,NA,NA,null,3:52.05,NA,NA
4,NA,NA,St. Andrew High School,4x400 Meter Relay,NA,NA,null,3:55.37,NA,NA
5,NA,NA,William Knibb High,4x400 Meter Relay,NA,NA,null,3:57.28,NA,NA
6,NA,NA,Guy's Hill High,4x400 Meter Relay,NA,NA,null,4:05.91,NA,NA
--,NA,NA,Hopewell High,4x400 Meter Relay,NA,NA,null,DNS,NA,NA
1,NA,NA,Holmwood Technical,4x400 Meter Relay,NA,NA,3:40.89,3:47.22,NA,NA
2,NA,NA,St. Mary High,4x400 Meter Relay,NA,NA,null,3:55.94,NA,NA
3,NA,NA,Irwin High,4x400 Meter Relay,NA,NA,null,4:08.83,NA,NA
4,NA,NA,Dinthill Technical High School,4x400 Meter Relay,NA,NA,null,4:23.66,NA,NA
--,NA,NA,Immaculate Conception High,4x400 Meter Relay,NA,NA,null,DNF,NA,NA
--,NA,NA,Holy Trinity High,4x400 Meter Relay,NA,NA,null,DNS,NA,NA
--,NA,NA,Donald Quarrie High School,4x400 Meter Relay,NA,NA,null,DNS,NA,NA
1,NA,NA,Wolmers Girls,4x400 Meter Relay,NA,NA,null,3:46.77,NA,NA
2,NA,NA,St. Jago High,4x400 Meter Relay,NA,NA,3:50.62,3:47.81,NA,NA
3,NA,NA,Manchester High,4x400 Meter Relay,NA,NA,null,3:52.80,NA,NA
4,NA,NA,St. Elizabeth Technical High,4x400 Meter Relay,NA,NA,null,3:59.96,NA,NA
5,NA,NA,Vauxhall High,4x400 Meter Relay,NA,NA,null,4:30.87,NA,NA
6,NA,NA,Claude McKAY High,4x400 Meter Relay,NA,NA,null,4:36.43,NA,NA
--,NA,NA,Charlemont High,4x400 Meter Relay,NA,NA,null,DQ,NA,NA
--,NA,NA,Titchfield High School,4x400 Meter Relay,NA,NA,null,DNS,NA,NA
1,NA,NA,St. Elizabeth Technical High,4x400 Meter Relay,NA,NA,3:15.40,3:20.38,NA,NA
2,NA,NA,Herbert Morrison Technical,4x400 Meter Relay,NA,NA,null,3:22.87,NA,NA
3,NA,NA,Glenmuir High,4x400 Meter Relay,NA,NA,null,3:26.02,NA,NA
4,NA,NA,Tacius Golding High School,4x400 Meter Relay,NA,NA,null,3:27.40,NA,NA
5,NA,NA,Spanish Town High,4x400 Meter Relay,NA,NA,null,3:28.06,NA,NA
